occupational status,marital status , What is the highest grade or level of schooling you completed? ,6. 你是不是在美國出生？  Were you born in the United States? ,7. 你在哪一年來到美國居住？   In what year did you come to live in the United States? ,8. 你的英文說得多好？  How well do you speak English? ,9. 你來自哪裡？（中國的城市名或Other國家名）  Where are you from? (Chinese city name or other country name)  ,10. 你現在的家庭住址的郵政編碼是多少？    What is the zip code of your current household? ,household_income
Working,Divorced,High School,No,1994,Good,Hong Kong,60616,"$20,000 至 $34,999"
Working,Married,Junior High,No,1993,Not Good,gongdong,60609,"$35,000 至 $49,999"
Working,Married,Vocational or technical school after high school,No,2005,Not Good,toishan,60608,"$20,000 至 $34,999"
Retired,Married,Primary School,No,1988,Very Bad,gongdong,60608,"$10,000 至 $14,999"
Working,Divorced,Primary School,No,2010,Very Bad,Fuzhou,60608,"$10,000 至 $14,999"
Unemployed,Married,I have no education,No,1994,Very Bad,Taishan,60608,"<em>$0 至 $9,999"
Retired,Married,I have no education,No,1982,Very Bad,gongdong,60632,Do Not Know
Working,Married,Junior High,No,2003,Very Bad,Hong Kong,60616,"$15,000 至 $19,999"
Working,Married,Primary School,No,1993,Good,Hongkong,60608,"$20,000 至 $34,999"
Working,Married,Junior High,No,2008,Not Good,Shenyang,60616,"<em>$0 至 $9,999"
Working,Widowed,High School,No,2010,Very Bad,gongdong,60616,"$15,000 至 $19,999"
Working,Married,High School,No,2007,Very Bad,Tai son,60616,"$20,000 至 $34,999"
Working,Married,High School,No,2009,Very Bad,Changde,60616,"$20,000 至 $34,999"
Housewife,Married,Junior High,No,2011,Very Bad,gongzhou,60632,"$10,000 至 $14,999"
Working,Married,Vocational or technical school after high school,No,2008,Not Good,taishan,60616,"$10,000 至 $14,999"
Working,Married,Junior High,No,2006,Very Bad,Taishan,60616,"$10,000 至 $14,999"
Working,Married,Junior High,No,2012,Very Bad,Zhuhai,60616,"$15,000 至 $19,999"
Working,Married,Junior High,No,2012,Not Good,Taishan,60616,"$10,000 至 $14,999"
Working,Married,Junior High,No,1990,Not Good,taishan,60608,"$20,000 至 $34,999"
Working,Married,Junior High,No,2001,Not Good,Fush,60616,"$20,000 至 $34,999"
Working,Married,Junior High,No,2004,Not Good,GuanZhu,60616,"$15,000 至 $19,999"
Working,Married,High School,No,1992,Not Good,gongzhou,60632,"$20,000 至 $34,999"
Working,Divorced,High School,No,1997,Not Good,Taishan,60632,"$10,000 至 $14,999"
Working,Married,Vocational or technical school after high school,No,2008,Very Bad,gongzhou,60616,"$15,000 至 $19,999"
Working,Married,Primary School,No,2007,Very Bad,Taishan,60608,"$20,000 至 $34,999"
Working,Married,Primary School,No,2004,Very Bad,Taishan,60632,"$10,000 至 $14,999"
Working,Married,Primary School,No,1999,Not Good,yanping,60616,"<em>$0 至 $9,999"
Retired,Married,High School,No,1998,Not Good,taishan,60632,"<em>$0 至 $9,999"
Working,Married,Vocational or technical school after high school,No,2006,Not Good,gongzhou,60623,"$15,000 至 $19,999"
Housewife,Divorced,High School,No,1986,Very Bad,taishan,60608,Do Not Know
Working,Married,High School,No,2011,Very Bad,shenyang,60616,"$15,000 至 $19,999"
Working,Married,Junior High,No,2009,Not Good,fujian,60616,"$15,000 至 $19,999"
Housewife,Married,High School,No,2012,Not Good,Taishan,60616,"$10,000 至 $14,999"
Working,Widowed,High School,No,1992,Not Good,Hong Kong,60608,"<em>$0 至 $9,999"
Working,Married,Primary School,No,1991,Not Good,Kaiping,60632,"$20,000 至 $34,999"
Working,Widowed,Junior High,No,2007,Very Bad,taishan,60616,"$15,000 至 $19,999"
Working,Married,High School,No,1997,Very Bad,jiangsu,60616,"$20,000 至 $34,999"
Retired,Widowed,High School,No,2001,Not Good,taishan,60616,"<em>$0 至 $9,999"
Unemployed,Married,Junior High,No,2001,Not Good,liaoning,60608,"$20,000 至 $34,999"
Unemployed,Divorced,University Graduate,No,2005,Not Good,shenyang,60609,"$10,000 至 $14,999"
Working,Married,High School,No,2000,Very Bad,Fujian,60608,"$10,000 至 $14,999"
Housewife,Divorced,Junior High,No,2011,Very Bad,Taishan,60608,Do Not Know
Working,Married,Primary School,No,2006,Not Good,jiangmen,60616,"$20,000 至 $34,999"
Working,Divorced,Primary School,No,1988,Not Good,taishan,60632,"$15,000 至 $19,999"
Retired,Divorced,Primary School,No,1985,Not Good,taishan,60616,"<em>$0 至 $9,999"
Housewife,Married,University Graduate,No,1998,Good,Liaoning,60609,"$20,000 至 $34,999"
Working,Married,High School,No,2008,Not Good,gongdong,60616,"$20,000 至 $34,999"
Working,Married,High School,No,2005,Good,tianjin,60616,"$15,000 至 $19,999"
Housewife,Widowed,Junior High,No,2000,Very Bad,taishan,60608,"$20,000 至 $34,999"
Other,Divorced,High School,No,2011,Very Bad,shenyang,60616,"$10,000 至 $14,999"
Working,Married,High School,No,2004,Very Bad,gongdong,60616,"$15,000 至 $19,999"
Unemployed,Married,University Graduate,No,2015,Very Bad,heilongjiang,60608,"$15,000 至 $19,999"
Housewife,Married,High School,No,2001,Very Bad,gongzhou,60616,"$20,000 至 $34,999"
Working,Married,High School,No,2006,Not Good,Taishan,60632,"$20,000 至 $34,999"
Working,Married,Primary School,No,2006,Very Bad,gongdong,60616,"$20,000 至 $34,999"
Working,Divorced,University Graduate,No,2002,Not Good,shenyang,60616,"$15,000 至 $19,999"
Housewife,Divorced,Junior High,No,2006,Very Bad,guangzhou,60616,Do Not Know
Working,Married,High School,No,1987,Not Good,gongdong,60616,"$35,000 至 $49,999"
Working,Divorced,University Graduate,No,2012,Not Good,tianjin,60616,"<em>$0 至 $9,999"
Retired,Married,Primary School,No,2003,Very Bad,taishan,60632,"$20,000 至 $34,999"
Working,Married,Junior High,No,1983,Good,gongdong,60608,"$20,000 至 $34,999"
Working,Married,Junior High,No,2008,Very Bad,Taishan,60616,"$10,000 至 $14,999"
Working,Married,High School,No,2000,Very Bad,shanghai,60616,"$10,000 至 $14,999"
Working,Married,High School,No,1990,Not Good,Guangzhou,60609,"$20,000 至 $34,999"
Working,Divorced,Junior High,No,2000,Not Good,Taishan,60608,"$20,000 至 $34,999"
Working,Married,University Graduate,No,2008,Not Good,shenyang,60608,"$15,000 至 $19,999"
Working,Divorced,High School,No,2005,Not Good,Guangzhou,60616,"<em>$0 至 $9,999"
Working,Married,High School,No,2004,Not Good,Taishan,60608,"$20,000 至 $34,999"
Retired,Married,Primary School,No,1997,Very Bad,Taishan,60608,"<em>$0 至 $9,999"
Working,Married,Junior High,No,2006,Very Bad,taishan,60632,"$50,000 至 $74,999"
Retired,Married,High School,No,2014,Very Bad,Shanghai,60608,"$15,000 至 $19,999"
Working,Married,High School,No,1997,Not Good,gongdong,60608,"$75,000 至 $99,999"
Working,Married,Primary School,No,2005,Good,gongdong,60608,"$20,000 至 $34,999"
Working,Married,High School,No,2006,Not Good,taishan,60632,"$20,000 至 $34,999"
Working,Married,High School,No,1989,Good,gongdong,60608,"$20,000 至 $34,999"
Housewife,Married,High School,No,2000,Very Bad,gongdong,60608,"$20,000 至 $34,999"
Working,Married,High School,No,2012,Not Good,taishan,60632,"$15,000 至 $19,999"
Working,Divorced,High School,No,2013,Not Good,Guonan,60616,"$35,000 至 $49,999"
Working,Divorced,High School,No,2005,Not Good,taishan,60616,"$20,000 至 $34,999"
Working,Married,Primary School,No,2006,Very Bad,Fujian,60616,"$20,000 至 $34,999"
Working,Married,Vocational or technical school after high school,No,2010,Not Good,gaugdon,60616,"$20,000 至 $34,999"
Working,Widowed,High School,No,2004,Good,guongzhou,60616,"$10,000 至 $14,999"
Working,Married,Vocational or technical school after high school,No,2002,Not Good,Fujian,60616,"$15,000 至 $19,999"
Working,Married,University Graduate,No,2008,Good,Taishan,60616,"$20,000 至 $34,999"
Retired,Married,Primary School,No,1997,Very Bad,guongzhou,60616,"$10,000 至 $14,999"
Working,Married,Junior High,No,2014,Not Good,guangdong,60616,"<em>$0 至 $9,999"
Housewife,Married,Junior High,No,2004,Not Good,Fujian,60616,"$15,000 至 $19,999"
Working,Married,High School,No,2012,Not Good,sunyang,60616,"$15,000 至 $19,999"
Working,Married,High School,No,2009,Not Good,guongzhou,60616,"$15,000 至 $19,999"
Unemployed,Married,University Graduate,No,18,Not Good,gou,60616,"$35,000 至 $49,999"
Retired,Married,High School,No,2008,Very Bad,taishan,60616,"$20,000 至 $34,999"
Unemployed,Married,High School,No,2006,Not Good,guang dong,60609,"$35,000 至 $49,999"
Unemployed,Divorced,High School,No,1999,Not Good,tan gang,60632,"<em>$0 至 $9,999"
Working,Married,High School,No,2004,Very Bad,Guangzhou,60609,"$20,000 至 $34,999"
Retired,Married,Primary School,No,1986,Not Good,gangdon,60608,"<em>$0 至 $9,999"
Working,Cohabit,High School,No,2003,Not Good,sijuan,60616,"$15,000 至 $19,999"
Working,Married,High School,No,2008,Not Good,tia sun,60608,"$35,000 至 $49,999"
Retired,Widowed,High School,No,1995,Not Good,taishan,60616,"$15,000 至 $19,999"
Working,Married,Attended college but did not graduate,No,1993,Good,gong yu,60608,"$35,000 至 $49,999"
Unemployed,Married,Vocational or technical school after high school,No,2006,Not Good,sun yang,60609,"$20,000 至 $34,999"
Working,Married,Vocational or technical school after high school,No,2003,Not Good,kung,60632,"$20,000 至 $34,999"
Working,Divorced,Junior High,No,1987,Not Good,gangdon,60616,"$20,000 至 $34,999"
Retired,Widowed,Vocational or technical school after high school,No,1980,Not Good,guongzhou,60608,"<em>$0 至 $9,999"
Working,Married,High School,No,2001,Not Good,ban qut,60608,"$15,000 至 $19,999"
Working,Widowed,High School,No,2003,Very Bad,guangdong,60609,"$20,000 至 $34,999"
